### TexasHoldem → Streamlit MVP 重构 PLAN（1 – 50）

> **说明**
>
> * **问题**：针对当前代码/架构缺陷或缺口
> * **方案**：解决思路与具体落地操作
> * **测试**：要编写或修改的测试，验证此项方案是否有效
> * 每条是**原子**、可独立执行的任务；按序号顺序依赖性最小化

| #                     | 问题                       | 方案                                                                                                                            | 测试                                                                            |
| --------------------- | ------------------------ | ----------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------- |
| **核心目录与模块边界**         |                          |                                                                                                                               |                                                                               |
| 1                     | 目录层级混杂，核心代码与 CLI 混放      | 在 `TexasHoldem/` 顶层新建 `core/`, `controller/`, `ui/` 目录并移动现有文件                                                                 | `pytest -q tests/unit/test_imports.py`：确保所有模块 import 路径更新后可正常加载               |
| 2                     | `core` 内子模块未细分           | 在 `core/` 下拆分 `cards/`, `logic/`, `state/`, `ai/` 四子包，添加 `__init__.py`                                                        | 单元测试运行覆盖率报告必须 ≥ 原先 90%                                                        |
| 3                     | `PokerController` 位于杂糅文件 | 新建 `controller/poker_controller.py`，搬迁并精简控制器逻辑，仅保留流程 & DI 接口                                                                  | 新增 `tests/unit/test_controller_basic.py`：创建控制器实例并断言流程方法存在                     |
| 4                     | DTO 与事件类型散落              | 在 `controller/dto.py` 定义 `GameStateSnapshot`, `PlayerActionInput`, `ActionResult`，在 `core/state/events.py` 定义 `GameEventType` | `tests/unit/test_dto_schema.py`：对 DTO 做 dataclass 字段完整性校验                     |
| 5                     | GameState 公共字段易被 UI 误改   | 调整 `core/state/game_state.py`：私有化可变字段，新增只读 property；公开 `apply_mutation()` 受控入口                                                | `tests/integration/test_state_mutation_guard.py`：利用反射尝试直接改字段应抛 AttributeError |
| **依赖注入与解耦**           |                          |                                                                                                                               |                                                                               |
| 6                     | AI 策略硬编码                 | 定义 `AIPlayerStrategy` 抽象基类；控制器构造函数接受 `ai_strategy_factory: Callable[[seat], AIPlayerStrategy]`                                | `tests/unit/test_ai_injection.py`：注入 DummyAI，断言控制器调用的是 DummyAI.decide\_action |
| 7                     | 随机洗牌不可控                  | 在 `core.logic` 实现 `RandomGenerator` 接口；控制器接受 `rng` 注入                                                                         | `tests/unit/test_deterministic_shuffle.py`：传入固定种子 RNG，断言洗牌顺序可预测               |
| 8                     | 事件发布‐订阅缺失                | 实现简单 `EventBus`；`PokerController` 在关键节点 `publish(event)`                                                                      | `tests/integration/test_event_bus.py`：订阅者收集事件列表长度符合预期                         |
| 9                     | UI 直接调用 controller 内部细节  | 定义 `controller/public_api.py` 只 re-export 安全接口；CLI & Streamlit 仅从此模块 import                                                   | 脚本扫描（pytest plugin）确保 UI 层不 import “private”模块                                |
| 10                    | Action 验证错误信息不细          | 扩充 `ActionResultType` 枚举＋错误码；`ActionValidator` 返回枚举 + message                                                                 | 新增 `tests/rules/test_error_codes.py`：非法加注触发 `INVALID_RAISE_AMOUNT`            |
| **逻辑层精简与一致性**         |                          |                                                                                                                               |                                                                               |
| 11                    | 牌型评估器算法效率未知              | 使用 benchmark 比较新旧实现；若旧算法慢，替换为预先排序表                                                                                            | `tests/performance/test_evaluator_speed.py`：200k 随机组合时间 < 1.5 s               |
| 12                    | 边池计算分散                   | 统一在 `core.logic.pot_manager.PotManager` 中实现 `settle_side_pots()`                                                              | `tests/rules/test_side_pots.py`：3 人全下示例结果与规则一致                                |
| 13                    | 行动验证重复                   | 抽象出 `_validate_common()`；各子函数复用                                                                                               | 通过 `pytest -q tests/unit/test_action_validator.py` 运行全部通过                     |
| 14                    | 阶段推进与发牌耦合                | 在 `controller.phase_engine` 模块新建 `PhaseEngine`，负责 `next_phase()`、发牌分发                                                         | `tests/integration/test_phase_engine.py`：完整演进 PreFlop→River→Showdown 阶列       |
| 15                    | 玩家状态过多 setter            | 用 `@dataclass(frozen=True)` 替换不变字段；可变字段通过方法修改                                                                                 | `tests/unit/test_player_state_immutability.py`：直接改属性抛异常                       |
| **GameState 快照与序列化**  |                          |                                                                                                                               |                                                                               |
| 16                    | Snapshot 包含秘密信息          | `GameStateSnapshot` 接受 `viewer_seat`；对方手牌改为 `"XX"`                                                                            | `tests/unit/test_snapshot_privacy.py`：非观众座位看不到真实牌                             |
| 17                    | Snapshot 字段不稳定           | 写快照 schema 快照测试（pytest-snapshot）防回归                                                                                           | `tests/contract/test_snapshot_schema.py`：schema 改动需显式更新                       |
| **测试体系重组**            |                          |                                                                                                                               |                                                                               |
